vocabJapan,vocabKana,vocabTranslation,partOfSpeech,vocabFurigana,sentenceJapanese,sentenceTranslation,sentenceFurigana,notesKanjified,vocabPitch
寺院,じいん,temple,,寺院[じいん],その寺院は屋根を修復中です,The Buddhist temple is restoring the roof.,その<b> 寺院[じいん]</b>は 屋根[やね]を 修復[しゅうふく] 中[ちゅう]です,寺院,1
医薬品,いやくひん,pharmaceuticals,,医薬品[いやくひん],この店は医薬品を取り扱っています,This shop sells pharmaceuticals.,この 店[みせ]は<b> 医薬品[いやくひん]</b>を 取り扱[とりあつか]っています,医薬品,0
文科,ぶんか,literary department,,文科[ぶんか],彼女は文科の学生です,She is a student in the school of liberal arts.,彼女[かのじょ]は<b> 文科[ぶんか]</b>の 学生[がくせい]です,文科,1
死人,しにん,corpse; dead person,,死人[しにん],彼は絶望し死人のような顔をしていた,He was in despair and his face looked gaunt.,彼[かれ]は 絶望[ぜつぼう]し<b> 死人[しにん]</b>のような 顔[かお]をしていた,死人,0
死去,しきょ,death; passing away,,死去[しきょ],元首相の死去が報道された,The death of the former Prime Minister was reported.,元[もと] 首相[しゅしょう]の<b> 死去[しきょ]</b>が 報道[ほうどう]された,死去,1 2
洋酒,ようしゅ,foreign wine,,洋酒[ようしゅ],私は日本酒よりも洋酒が好きだ,I like foreign drinks better than Japanese rice wine.,私[わたし]は 日本[にほん] 酒[しゅ]よりも<b> 洋酒[ようしゅ]</b>が 好[す]きだ,洋酒,0
杯,さかずき,sake cup; wine cup,,杯[さかずき],友情の印に杯を交わそう,Cups are exchanged as a sign of friendship.,友情[ゆうじょう]の 印[しるし]に<b> 杯[さかずき]</b>を 交[か]わそう,杯,0 4
担保,たんぽ,mortgage; security,,担保[たんぽ],彼は家を担保にして借金した,He borrowed money using the house as security.,彼[かれ]は 家[いえ]を<b> 担保[たんぽ]</b>にして 借金[しゃっきん]した,担保,1
保安,ほあん,preservation of public peace,,保安[ほあん],この会社は警備や保安が専門です,This company specializes in security and protection.,この 会社[かいしゃ]は 警備[けいび]や<b> 保安[ほあん]</b>が 専門[せんもん]です,保安,0
保温,ほおん,keeping warm,,保温[ほおん],この鍋は保温機能がついています,This pan has thermal insulation.,この 鍋[なべ]は<b> 保温[ほおん]</b> 機能[きのう]がついています,保温,0
コイン,こいん,coin,,コイン[こいん],ポケットからコインが出てきた,The coins have come out of the pocket.,ポケットから<b>コイン</b>が 出[で]てきた,コイン,1
証書,しょうしょ,bond; certificate,,証書[しょうしょ],校長先生から卒業証書が手渡された,I was handed a diploma by the principal.,校長[こうちょう] 先生[せんせい]から 卒業[そつぎょう]<b> 証書[しょうしょ]</b>が 手渡[てわた]された,証書,0
共存,きょうぞん,coexistence,,共存[きょうぞん],人間は自然と共存する必要がある,Man should coexist with nature.,人間[にんげん]は 自然[しぜん]と<b> 共存[きょうぞん]</b>する 必要[ひつよう]がある,共存,
思う存分,おもうぞんぶん,to one's heart's content,,思う存分[おもうぞんぶん],思う存分デートを楽しんだ,I thoroughly enjoyed dating.,<b>思う存分[おもうぞんぶん]</b>デートを 楽[たの]しんだ,思う存分,2
意,い,feelings; opinion,,意[い],彼は感謝の意を表した,He expressed gratitude.,彼[かれ]は 感謝[かんしゃ]の<b> 意[い]</b>を 表[あらわ]した,意,1
要注意,ようちゅうい,attention required,,要注意[ようちゅうい],あの人には要注意です,He needs to take care.,あの 人[ひと]には<b> 要注意[ようちゅうい]</b>です,要注意,3
故意,こい,intention; purpose,,故意[こい],私は彼を故意に傷つけたわけではない,I did not hurt him intentionally.,私[わたし]は 彼[かれ]を<b> 故意[こい]</b>に 傷[きず]つけたわけではない,故意,1
悪意,あくい,malicious intent,,悪意[あくい],彼の目つきに悪意を感じた,I felt malice in his look.,彼[かれ]の 目[め]つきに<b> 悪意[あくい]</b>を 感[かん]じた,悪意,1
有意義,ゆういぎ,significant; useful,,有意義[ゆういぎ],今日はとても有意義な時間を過ごせました,I had a very productive time today.,今日[きょう]はとても<b> 有意義[ゆういぎ]</b>な 時間[じかん]を 過[す]ごせました,有意義,3
意地,いじ,disposition,,意地[いじ],彼女は意地になっています,She's obstinate.,彼女[かのじょ]は<b> 意地[いじ]</b>になっています,意地,2
真意,しんい,real intention; true meaning,,真意[しんい],彼の発言の真意は何なのだろう,What is the real intention of his remark?,彼[かれ]の 発言[はつげん]の<b> 真意[しんい]</b>は 何[なん]なのだろう,真意,1
熱意,ねつい,ardor; zeal,,熱意[ねつい],手紙から彼の熱意が伝わってきました,His enthusiasm came across in the letter.,手紙[てがみ]から 彼[かれ]の<b> 熱意[ねつい]</b>が 伝[つた]わってきました,熱意,1
不意,ふい,sudden; unexpected,,不意[ふい],そのキーパーは不意をつかれてゴールを許した,The goalkeeper was caught off guard and let in a goal.,そのキーパーは<b> 不意[ふい]</b>をつかれてゴールを 許[ゆる]した,不意,0
的確,てきかく,accurate; precise,,的確[てきかく],彼女はいつも的確なアドバイスをくれる,She always gives accurate advice.,彼女[かのじょ]はいつも<b> 的確[てきかく]</b>なアドバイスをくれる,的確,0
認め,みとめ,approval,,認め[みとめ],これは上司の認めが必要だ,This needs the boss's approval.,これは 上司[じょうし]の<b> 認[みと]め</b>が 必要[ひつよう]だ,認め,0
そもそも,そもそも,in the first place,,そもそも,彼はそもそもこの仕事に向いていない,He wasn't suited to this work from the beginning.,彼[かれ]は<b>そもそも</b>この 仕事[しごと]に 向[む]いていない,そもそも,1
利率,りりつ,interest rate,,利率[りりつ],銀行の利率はあまり良くないです,The bank's interest rate isn't very good.,銀行[ぎんこう]の<b> 利率[りりつ]</b>はあまり 良[よ]くないです,利率,0
率先,そっせん,initiative; leadership,,率先[そっせん],何事も率先してやるようにしています,I take the initiative in everything I do.,何事[なにごと]も<b> 率先[そっせん]</b>してやるようにしています,率先,0
率いる,ひきいる,head; lead,,率いる[ひきいる],彼の率いるチームはとても強い,The team that he leads is very strong.,彼[かれ]の<b> 率[ひき]いる</b>チームはとても 強[つよ]い,率いる,3
動機,どうき,incentive; motive,,動機[どうき],面接で応募動機を聞かれた,"At the interview, I was asked about why I applied for the job.",面接[めんせつ]で 応募[おうぼ]<b> 動機[どうき]</b>を 聞[き]かれた,動機,0
待機,たいき,stand by; waiting,,待機[たいき],呼ばれるまで待機していて下さい,Please stand by until you are called.,呼[よ]ばれるまで<b> 待機[たいき]</b>していて 下[くだ]さい,待機,1 0
機体,きたい,fuselage; machine,,機体[きたい],飛行機の機体に異常が見つかった,Abnormalities were found in the body of the airplane.,飛行機[ひこうき]の<b> 機体[きたい]</b>に 異常[いじょう]が 見[み]つかった,機体,0
人材,じんざい,capable man; talent,,人材[じんざい],わが社は今良い人材を探しています,Our company is looking for talented staff now.,わが 社[しゃ]は 今[いま] 良[よ]い<b> 人材[じんざい]</b>を 探[さが]しています,人材,0
木材,もくざい,timber; wood,,木材[もくざい],あの店は木材を扱っています,That shop deals in timber.,あの 店[みせ]は<b> 木材[もくざい]</b>を 扱[あつか]っています,木材,2 0
用具,ようぐ,outfit; tool,,用具[ようぐ],掃除用具を買ってきました,I bought some cleaning tools.,掃除[そうじ]<b> 用具[ようぐ]</b>を 買[か]ってきました,用具,1
備考,びこう,remarks,,備考[びこう],備考欄もよく読んでください,Please read the remarks column carefully.,<b>備考[びこう]</b> 欄[らん]もよく 読[よ]んでください,備考,0
予備校,よびこう,preparatory school,,予備校[よびこう],今彼女は予備校に通っています,She is attending prep school now.,今[いま] 彼女[かのじょ]は<b> 予備校[よびこう]</b>に 通[かよ]っています,予備校,0
不備,ふび,defect; imperfection,,不備[ふび],書類に不備があった,There were flaws in the document.,書類[しょるい]に<b> 不備[ふび]</b>があった,不備,1
開設,かいせつ,establishment,,開設[かいせつ],四月に新しい講座が開設されました,A new course was established in April.,四月[しがつ]に 新[あたら]しい 講座[こうざ]が<b> 開設[かいせつ]</b>されました,開設,0
説教,せっきょう,preaching; scolding,,説教[せっきょう],遅刻が多くて先生に説教された,They were extremely late and were lectured by the teacher.,遅刻[ちこく]が 多[おお]くて 先生[せんせい]に<b> 説教[せっきょう]</b>された,説教,3 1
公,おおやけ,the public,,公[おおやけ],この事実はまだ公にはなっていません,This matter has not become public yet.,この 事実[じじつ]はまだ<b> 公[おおやけ]</b>にはなっていません,公,0
タッチ,たっち,touch,,タッチ[たっち],壁をタッチして戻って来てください,Please touch the wall and come back.,壁[かべ]を<b>タッチ</b>して 戻[もど]って 来[き]てください,タッチ,1
公認,こうにん,authorization; official recognition,,公認[こうにん],二人は公認の仲だ,The couple's relationship is widely acknowledged.,二人[ふたり]は<b> 公認[こうにん]</b>の 仲[なか]だ,公認,0
公表,こうひょう,proclamation; public announcement,,公表[こうひょう],関係者の名前は公表されません,Names of the parties concerned are not to be made public.,関係[かんけい] 者[しゃ]の 名前[なまえ]は<b> 公表[こうひょう]</b>されません,公表,0
公約,こうやく,public pledge,,公約[こうやく],私は必ず公約を守ります,I will be sure to keep the election promises.,私[わたし]は 必[かなら]ず<b> 公約[こうやく]</b>を 守[まも]ります,公約,0
公然,こうぜん,out in the open,,公然[こうぜん],にせもののブランド品が公然と売られている,Fake brand-name goods are sold publicly.,にせもののブランド 品[ひん]が<b> 公然[こうぜん]</b>と 売[う]られている,公然,0
公民館,こうみんかん,public hall,,公民館[こうみんかん],公民館に人が集まってきた,People have gathered in the public hall.,<b>公民館[こうみんかん]</b>に 人[ひと]が 集[あつ]まってきた,公民館,3
公営,こうえい,public management,,公営[こうえい],近所には公営のプールがあります,There is a public pool near here.,近所[きんじょ]には<b> 公営[こうえい]</b>のプールがあります,公営,0
公明,こうめい,fairness; justice,,公明[こうめい],役員は公明な選挙で決めましょう,Let's select the committee members by a fair election.,役員[やくいん]は<b> 公明[こうめい]</b>な 選挙[せんきょ]で 決[き]めましょう,公明,0
園芸,えんげい,gardening,,園芸[えんげい],祖父の趣味は園芸です,My grandfather's hobby is gardening.,祖父[そふ]の 趣味[しゅみ]は<b> 園芸[えんげい]</b>です,園芸,0
田園,でんえん,fields and gardens; rural districts,,田園[でんえん],窓から美しい田園風景が見えます,I can see a beautiful pastoral landscape from the window.,窓[まど]から 美[うつく]しい<b> 田園[でんえん]</b> 風景[ふうけい]が 見[み]えます,田園,0
間際,まぎわ,just before,,間際[まぎわ],出発間際になって雨が降り出した,Just as we were setting off it began to rain.,出発[しゅっぱつ]<b> 間際[まぎわ]</b>になって 雨[あめ]が 降り出[ふりだ]した,間際,1
航海,こうかい,voyage,,航海[こうかい],航海の安全を祈っています,I pray for safety on the sea voyage.,<b>航海[こうかい]</b>の 安全[あんぜん]を 祈[いの]っています,航海,1
航路,こうろ,course; sea route,,航路[こうろ],地図に航路が書いてあります,The sea routes are written on the map.,地図[ちず]に<b> 航路[こうろ]</b>が 書[か]いてあります,航路,1
造船,ぞうせん,shipbuilding,,造船[ぞうせん],造船は重要な産業です,Shipbuilding is an important industry.,<b>造船[ぞうせん]</b>は 重要[じゅうよう]な 産業[さんぎょう]です,造船,0
成分,せいぶん,component; ingredient,,成分[せいぶん],この薬の成分は何ですか,What are the ingredients in this medicine?,この 薬[くすり]の<b> 成分[せいぶん]</b>は 何[なん]ですか,成分,1
チェーン,ちぇーん,chain,,チェーン[ちぇーん],雪道を走るにはチェーンが必要だ,Chains are required to drive on snowy roads.,雪[ゆき] 道[みち]を 走[はし]るには<b>チェーン</b>が 必要[ひつよう]だ,チェーン,1
失格,しっかく,disqualification,,失格[しっかく],その選手は薬物使用で失格になった,The player was disqualified due to drug use.,その 選手[せんしゅ]は 薬物[やくぶつ] 使用[しよう]で<b> 失格[しっかく]</b>になった,失格,0
過失,かしつ,error; negligence,,過失[かしつ],運転手の過失から大事故になってしまった,"Due to the fault of the driver, there was a major accident.",運転[うんてん] 手[しゅ]の<b> 過失[かしつ]</b>から 大[だい] 事故[じこ]になってしまった,過失,0
敗北,はいぼく,defeat; setback,,敗北[はいぼく],彼は敗北を認めなかった,He did not admit defeat.,彼[かれ]は<b> 敗北[はいぼく]</b>を 認[みと]めなかった,敗北,0
原始,げんし,primeval; primitive,,原始[げんし],原始時代の住居跡が見つかった,The remains of a dwelling from primitive times was found.,<b>原始</b>時代[げんしじだい]の 住居[じゅうきょ] 跡[あと]が 見[み]つかった,原始,1
原作,げんさく,original,,原作[げんさく],この小説の原作は英語で書かれています,This novel was originally written in English.,この 小説[しょうせつ]の<b> 原作[げんさく]</b>は 英語[えいご]で 書[か]かれています,原作,0
原子,げんし,atom,,原子[げんし],物のいちばん小さい単位が原子です,The smallest particles are atoms.,物[もの]のいちばん 小[ちい]さい 単位[たんい]が<b> 原子[げんし]</b>です,原子,1
原点,げんてん,origin; starting point,,原点[げんてん],原点に戻って考えてください,Go back to the starting point and think.,<b>原点[げんてん]</b>に 戻[もど]って 考[かんが]えてください,原点,1 0
原告,げんこく,plaintiff,,原告[げんこく],原告の訴えが認められた,The plaintiff's appeal was accepted.,<b>原告[げんこく]</b>の 訴[うった]えが 認[みと]められた,原告,0
川原,かわら,dry riverbed,,川原[かわら],私たちは川原でバーベキューをしました,We had the barbecue on the dry river bed.,私[わたし]たちは<b> 川原[かわら]</b>でバーベキューをしました,川原,0
資本,しほん,capital; funds,,資本[しほん],会社は資本なしには成長できない,The company cannot grow without capital.,会社[かいしゃ]は<b> 資本[しほん]</b>なしには 成長[せいちょう]できない,資本,0
源,みなもと,fountainhead; source,,源[みなもと],彼女の笑顔は私の元気の源です,Her smile is the source of my energy.,彼女[かのじょ]の 笑顔[えがお]は 私[わたし]の 元気[げんき]の<b> 源[みなもと]</b>です,源,0
電源,でんげん,power source,,電源[でんげん],パソコンの電源は入っていますか,Is the computer switched on?,パソコンの<b> 電源[でんげん]</b>は 入[はい]っていますか,電源,0 3
語源,ごげん,etymology,,語源[ごげん],この2つの言葉の語源は同じです,The etymology of these two words is the same.,この 2つの 言葉[ことば]の<b> 語源[ごげん]</b>は 同[おな]じです,語源,0
出願,しゅつがん,application,,出願[しゅつがん],都内の大学3校に出願しました,I applied to three universities in Tokyo.,都内[とない]の 大学[だいがく] 3 校[こう]に<b> 出願[しゅつがん]</b>しました,出願,0
ウイルス,ういるす,virus,,ウイルス[ういるす],彼女はウイルス性の病気に感染しました,She was infected with a viral sickness.,彼女[かのじょ]は<b>ウイルス</b> 性[せい]の 病気[びょうき]に 感染[かんせん]しました,ウイルス,2 1
正面,まとも,front; frontage,,正面[まとも],彼の考え方はまともではない,His way of thinking does not hold water.,彼[かれ]の 考え方[かんがえかた]は<b>まとも</b>ではない,正面,
公正,こうせい,fairness; justice,,公正[こうせい],裁判は公正であるべきだ,Trials should be fair.,裁判[さいばん]は<b> 公正[こうせい]</b>であるべきだ,公正,1
正規,せいき,formal; regular,,正規[せいき],これは正規のルートで入手した情報ではない,This information is not acquired through the proper channels.,これは<b> 正規[せいき]</b>のルートで 入手[にゅうしゅ]した 情報[じょうほう]ではない,正規,1
正体,しょうたい,true characters,,正体[しょうたい],次回謎の人物の正体が明かされる,"Next time, the true character of the mysterious person will be revealed.",次回[じかい] 謎[なぞ]の 人物[じんぶつ]の<b> 正体[しょうたい]</b>が 明[あ]かされる,正体,1
異動,いどう,reshuffle; shifting,,異動[いどう],社内で異動の発表があった,The company reorganization was announced.,社内[しゃない]で<b> 異動[いどう]</b>の 発表[はっぴょう]があった,異動,0
特異,とくい,peculiar; unique,,特異[とくい],彼は特異な才能の持ち主です,He has an unusual talent.,彼[かれ]は<b> 特異[とくい]</b>な 才能[さいのう]の 持ち主[もちぬし]です,特異,0 1
常用,じょうよう,common use; daily use,,常用[じょうよう],容疑者は薬物を常用していました,The suspect was using drugs regularly.,容疑[ようぎ] 者[しゃ]は 薬物[やくぶつ]を<b> 常用[じょうよう]</b>していました,常用,0
平常,へいじょう,normal; ordinary,,平常[へいじょう],夏休みが終わって平常の授業に戻りました,Summer vacation ended and we returned to normal classes.,夏休[なつやす]みが 終[お]わって<b> 平常[へいじょう]</b>の 授業[じゅぎょう]に 戻[もど]りました,平常,0
識別,しきべつ,distinction,,識別[しきべつ],この機械で指紋の識別ができます,This machine can identify fingerprints.,この 機械[きかい]で 指紋[しもん]の<b> 識別[しきべつ]</b>ができます,識別,0
非,ひ,wrong; wrongdoing,,非[ひ],彼は自分の非を認めて謝った,He admitted he was wrong and apologized.,彼[かれ]は 自分[じぶん]の<b> 非[ひ]</b>を 認[みと]めて 謝[あやま]った,非,
調理,ちょうり,cookery; preparation,,調理[ちょうり],この魚は調理が難しい,Cooking this fish is difficult.,この 魚[さかな]は<b> 調理[ちょうり]</b>が 難[むずか]しい,調理,1
整数,せいすう,integer,,整数[せいすう],ゼロに1ずつ足したり1ずつ引いたりしてできる数を整数という,Whole numbers added to or taken away from zero one by one are called integers.,ゼロに 1ずつ 足[た]したり 1ずつ 引[ひ]いたりしてできる 数[かず]を<b> 整数[せいすう]</b>という,整数,3
節,ふし,joint; melody,,節[ふし],熱が出て体の節々が痛んだ,I got a temperature and the joints all over my body ached.,熱[ねつ]が 出[で]て 体[からだ]の<b> 節</b>々[ふしぶし]が 痛[いた]んだ,節,
節,せつ,paragraph; time,,節[せつ],第1節を要約してください,Please summarize paragraph one.,第[だい] 1<b> 節[せつ]</b>を 要約[ようやく]してください,節,
フィクション,へぃくしょん,fiction,,フィクション[へぃくしょん],彼はフィクションをよく読みます,He often reads fiction.,彼[かれ]は<b>フィクション</b>をよく 読[よ]みます,フィクション,1
検証,けんしょう,verification,,検証[けんしょう],実験の結果を詳しく検証した,The results of the experiment were carefully verified.,実験[じっけん]の 結果[けっか]を 詳[くわ]しく<b> 検証[けんしょう]</b>した,検証,0
検定,けんてい,examination,,検定[けんてい],検定試験に合格しました,I passed the certificate examination.,<b>検定[けんてい]</b> 試験[しけん]に 合格[ごうかく]しました,検定,0
点検,てんけん,inspection,,点検[てんけん],週に一度機械を点検してください,Please inspect the machine once a week.,週[しゅう]に一 度[ど] 機械[きかい]を<b> 点検[てんけん]</b>してください,点検,0
検察,けんさつ,criminal investigation; prosecution,,検察[けんさつ],検察側の証人を呼んでください,Please call the witness for the prosecution.,<b>検察[けんさつ]</b> 側[がわ]の 証人[しょうにん]を 呼[よ]んでください,検察,0
検事,けんじ,public prosecutor,,検事[けんじ],法廷の左側に検事が座ります,The public prosecutor sits at the left of the court.,法廷[ほうてい]の 左側[ひだりがわ]に<b> 検事[けんじ]</b>が 座[すわ]ります,検事,1
暗示,あんじ,hint; suggestion,,暗示[あんじ],暗い雲が彼の将来を暗示していた,The dark cloud was a premonition of his future.,暗[くら]い 雲[くも]が 彼[かれ]の 将来[しょうらい]を<b> 暗示[あんじ]</b>していた,暗示,0
図示,ずし,diagram; illustration,,図示[ずし],次のページに構造が図示されています,The structure is shown in the figure on the following page.,次[つぎ]のページに 構造[こうぞう]が<b> 図示[ずし]</b>されています,図示,1
票,ひょう,ballot; vote,,票[ひょう],その選挙で彼は最高票を獲得した,He got the majority vote in the election.,その 選挙[せんきょ]で 彼[かれ]は 最高[さいこう]<b> 票[ひょう]</b>を 獲得[かくとく]した,票,
標識,ひょうしき,beacon; sign,,標識[ひょうしき],この道は標識では行き止まりになっている,"According to the sign, this road is a dead end.",この 道[みち]は<b> 標識[ひょうしき]</b>では 行き止[いきど]まりになっている,標識,0
標本,ひょうほん,sample; specimen,,標本[ひょうほん],博物館で珍しい蝶の標本を見た,I saw a specimen of a rare butterfly in the museum.,博物館[はくぶつかん]で 珍[めずら]しい 蝶[ちょう]の<b> 標本[ひょうほん]</b>を 見[み]た,標本,0
連合,れんごう,alliance,,連合[れんごう],その国は連合軍に加わった,That country joined the allied forces.,その 国[くに]は<b> 連合[れんごう]</b> 軍[ぐん]に 加[くわ]わった,連合,0
連中,れんちゅう,party; those fellows,,連中[れんちゅう],あの連中は本当に面白い,That bunch is really interesting.,あの<b> 連中[れんちゅう]</b>は 本当[ほんとう]に 面白[おもしろ]い,連中,0
絡む,からむ,entwine; twine around,,絡む[からむ],釣り糸が絡んで解けません,The fishing line is tangled and I can't untangle it.,釣り糸[つりいと]が<b> 絡[から]んで</b> 解[と]けません,絡む,2
引き続き,ひきつづき,continuously,,引き続き[ひきつづき],引き続きよろしくお願いします,I ask for your continued favor.,<b>引き続[ひきつづ]き</b>よろしくお 願[ねが]いします,引き続き,0
キャンパス,きゃんぱす,campus,,キャンパス[きゃんぱす],ここは医学部のキャンパスです,This is the Department of Medicine campus.,ここは 医学部[いがくぶ]の<b>キャンパス</b>です,キャンパス,1
持続,じぞく,continuation,,持続[じぞく],このままでは経営の持続は困難です,"It's difficult for the business to sustain itself, if things continue like this.",このままでは 経営[けいえい]の<b> 持続[じぞく]</b>は 困難[こんなん]です,持続,0
続出,ぞくしゅつ,one after another,,続出[ぞくしゅつ],そのゲームは人気のため売り切れが続出している,The game keeps selling out because it is popular.,そのゲームは 人気[にんき]のため 売り切[うりき]れが<b> 続出[ぞくしゅつ]</b>している,続出,0
相続,そうぞく,inheritance; succession,,相続[そうぞく],彼は莫大な遺産を相続しました,He came into an extensive inheritance.,彼[かれ]は 莫大[ばくだい]な 遺産[いさん]を<b> 相続[そうぞく]</b>しました,相続,0 1
相違,そうい,difference; disparity,,相違[そうい],両者の意見には相違があった,They had a difference of opinion.,両者[りょうしゃ]の 意見[いけん]には<b> 相違[そうい]</b>があった,相違,0
相応,そうおう,becoming; suitable,,相応[そうおう],誰にでも相応の生活というものがある,Everyone should live within their means.,誰[だれ]にでも<b> 相応[そうおう]</b>の 生活[せいかつ]というものがある,相応,0
人相,にんそう,looks; physiognomy,,人相[にんそう],彼はとても良い人相をしている,He's really good looking.,彼[かれ]はとても 良[い]い<b> 人相[にんそう]</b>をしている,人相,1
相対的,そうたいてき,relative,,相対的[そうたいてき],相対的に見るとこの国の景気は悪くはない,"The business climate of this country is not bad, relatively speaking.",<b>相対[そうたい] 的[てき]</b>に 見[み]るとこの 国[くに]の 景気[けいき]は 悪[わる]くはない,相対的,0
世相,せそう,phases of life; social conditions,,世相[せそう],今日の世相を反映した事件だね,This event reflects the current social conditions.,今日[こんにち]の<b> 世相[せそう]</b>を 反映[はんえい]した 事件[じけん]だね,世相,0 2
商談,しょうだん,business talk; negotiations,,商談[しょうだん],明日は大事な商談が控えています,We are expecting an important business talk tomorrow.,明日[あす]は 大事[だいじ]な<b> 商談[しょうだん]</b>が 控[ひか]えています,商談,0
談話,だんわ,conversation; talking,,談話[だんわ],首相の談話が発表された,The Prime Minister's speech was announced.,首相[しゅしょう]の<b> 談話[だんわ]</b>が 発表[はっぴょう]された,談話,0
面談,めんだん,interview,,面談[めんだん],先生と進路について面談した,I had a discussion with the teacher about my career.,先生[せんせい]と 進路[しんろ]について<b> 面談[めんだん]</b>した,面談,0
座談会,ざだんかい,round-table talk,,座談会[ざだんかい],彼は座談会のゲストに呼ばれた,He was invited as a guest to the conference.,彼[かれ]は<b> 座談[ざだん] 会[かい]</b>のゲストに 呼[よ]ばれた,座談会,2
表記,ひょうき,writing,,表記[ひょうき],この言葉は一般的に平仮名で表記される,This word is generally written using hiragana.,この 言葉[ことば]は 一般[いっぱん] 的[てき]に 平仮名[ひらがな]で<b> 表記[ひょうき]</b>される,表記,1
明記,めいき,clarification; specification,,明記[めいき],御住所とお名前を明記してください,Please write your name and address clearly.,御[ご] 住所[じゅうしょ]とお 名前[なまえ]を<b> 明記[めいき]</b>してください,明記,1
スムーズ,すむーず,smooth,,スムーズ[すむーず],彼女の動きはとてもスムーズになってきた,Her movements have become much smoother.,彼女[かのじょ]の 動[うご]きはとても<b>スムーズ</b>になってきた,スムーズ,2
書記,しょき,clerk; secretary,,書記[しょき],委員会の新しい書記が決まりました,A new committee secretary has been chosen.,委員[いいん] 会[かい]の 新[あたら]しい<b> 書記[しょき]</b>が 決[き]まりました,書記,0 1
目録,もくろく,catalog,,目録[もくろく],図書目録はありますか,Is there a bibliography?,図書[としょ]<b> 目録[もくろく]</b>はありますか,目録,0
登記,とうき,registration; registry,,登記[とうき],この家は登記が済んでいます,Registration of this house has been completed.,この 家[いえ]は<b> 登記[とうき]</b>が 済[す]んでいます,登記,1
相関,そうかん,correlation; mutual relationship,,相関[そうかん],理科と数学の点数には相関関係がある,There are a number of points of correlation between science and mathematics.,理科[りか]と 数学[すうがく]の 点数[てんすう]には<b> 相関[そうかん]</b> 関係[かんけい]がある,相関,0
機関車,きかんしゃ,locomotive,,機関車[きかんしゃ],50年前祖母は機関車に乗って上京してきた,"50 years ago, my grandmother came to Tokyo by locomotive.",50 年[ねん] 前[まえ] 祖母[そぼ]は<b> 機関[きかん] 車[しゃ]</b>に 乗[の]って 上京[じょうきょう]してきた,機関車,2
難関,なんかん,barrier; obstacle,,難関[なんかん],彼女は見事難関を突破した,She brilliantly overcame the obstacles.,彼女[かのじょ]は 見事[みごと]<b> 難関[なんかん]</b>を 突破[とっぱ]した,難関,0
病状,びょうじょう,condition of a disease,,病状[びょうじょう],その患者の病状はあまりよくない,That patient's condition is not very good.,その 患者[かんじゃ]の<b> 病状[びょうじょう]</b>はあまりよくない,病状,0
実況,じっきょう,actual conditions,,実況[じっきょう],その試合はテレビで実況放送される,The game is broadcast live on television.,その 試合[しあい]はテレビで<b> 実況[じっきょう]</b> 放送[ほうそう]される,実況,0
生態,せいたい,ecology; mode of life,,生態[せいたい],私の弟は大学で植物の生態を研究しています,My younger brother is researching plant ecology at the university.,私[わたし]の 弟[おとうと]は 大学[だいがく]で 植物[しょくぶつ]の<b> 生態[せいたい]</b>を 研究[けんきゅう]しています,生態,0
政局,せいきょく,political situation,,政局[せいきょく],その国の政局は不安定だ,The political situation of the country is unstable.,その 国[くに]の<b> 政局[せいきょく]</b>は 不安定[ふあんてい]だ,政局,0
政界,せいかい,political world,,政界[せいかい],彼は政界の大物だ,He is a big political wheel.,彼[かれ]は<b> 政界[せいかい]</b>の 大物[おおもの]だ,政界,0
治安,ちあん,public safety,,治安[ちあん],その都市の治安はいい方です,The public safety in that city is pretty good.,その 都市[とし]の<b> 治安[ちあん]</b>はいい 方[ほう]です,治安,0 1
自治,じち,autonomy,,自治[じち],自治権を得るために結束しましょう,Let's unite to obtain the right of autonomy.,<b>自治[じち]</b> 権[けん]を 得[え]るために 結束[けっそく]しましょう,自治,1
選定,せんてい,choice; selection,,選定[せんてい],候補者の選定が終了しました,The selection of candidates is over.,候補[こうほ] 者[しゃ]の<b> 選定[せんてい]</b>が 終了[しゅうりょう]しました,選定,0
予選,よせん,preliminary match; primary election,,予選[よせん],その選手はなんとか予選を通過した,That player somehow managed to pass the preliminary round.,その 選手[せんしゅ]はなんとか<b> 予選[よせん]</b>を 通過[つうか]した,予選,0
あくまで,あくまで,in the end; stubbornly,,あくまで,彼はあくまで自分の主義を通す人だ,He is a person who stands by his principles to the end.,彼[かれ]は<b>あくまで</b> 自分[じぶん]の 主義[しゅぎ]を 通[とお]す 人[ひと]だ,あくまで,1 2
選出,せんしゅつ,election,,選出[せんしゅつ],サッカーの日本代表が選出された,The Japanese national soccer team was selected.,サッカーの 日本[にほん] 代表[だいひょう]が<b> 選出[せんしゅつ]</b>された,選出,0
選る,よる,select,,選る[よる],より好みをしてはいけません,Don't be too particular.,<b>より</b> 好[ごの]みをしてはいけません,選る,1
補足,ほそく,supplement,,補足[ほそく],彼から補足することがあるそうです,Apparently he has something to add.,彼[かれ]から<b> 補足[ほそく]</b>することがあるそうです,補足,0
補正,ほせい,correction; revision,,補正[ほせい],このソフトで画像を補正することができる,You can correct images with this software.,このソフトで 画像[がぞう]を<b> 補正[ほせい]</b>することができる,補正,0
補強,ほきょう,reinforcement,,補強[ほきょう],地震に備えて家を補強した,The house was reinforced in preparation for earthquakes.,地震[じしん]に 備[そな]えて 家[いえ]を<b> 補強[ほきょう]</b>した,補強,0
